"","diff","model"
"1",0.176256613756614,"1"
"2",0.155588624338624,"1"
"3",0.147652116402116,"1"
"4",0.174933862433862,"1"
"5",0.0297619047619048,"1"
"6",0.145006613756614,"1"
"7",0.154761904761905,"1"
"8",0.146329365079365,"1"
"9",0.154265873015873,"1"
"10",0.150297619047619,"1"
"11",0.176256613756614,"2"
"12",0.155588624338624,"2"
"13",0.147652116402116,"2"
"14",0.174933862433862,"2"
"15",0.0297619047619048,"2"
"16",0.145006613756614,"2"
"17",0.154761904761905,"2"
"18",0.146329365079365,"2"
"19",0.154265873015873,"2"
"20",0.150297619047619,"2"
